codigo_bdns,MRR,administracion,departamento,organo,fecha_registro,titulo_convocatoria,url_bases_regul,importe_total,tipo_beneficiario,sector_beneficiario,region_impacto,finalidad
617457,NO,COMUNITAT VALENCIANA,SECRETARÍA AUTONÓMICA DE ARQUITECTURA BIOCLIMÁTICA Y SOSTENIBILIDAD ENERGÉTICA,,25/03/2022,CONVENIO PARA ACTUACIONES URBANAS ELX 2022,NO DISPONIBLE,"100,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Construcción de edificios,ES521 - Alicante / Alacant,ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
617455,NO,MULA,AYUNTAMIENTO DE MULA,,25/03/2022,AYUDAS SERVICIOS SOCIALES - 2022,http://mula.es/web/wp-content/uploads/2019/06/Resolucion-Concesion-Ayudas-Sociales.pdf,"50,000.00 €",PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617451,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO DE CIEZA MANTENIMIENTO CENTRO DE ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"135,312.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617450,NO,PEÑAMELLERA BAJA,AYUNTAMIENTO DE PEÑAMELLERA BAJA,,25/03/2022,AYUDA ECONÓMICA PARA SUFRAGAR GASTOS DEL CAMPEONATO DE ESPAÑA DE AJEDREZ.,https://sedeelectronica.aytopbpanes.es/,300.00 €,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Actividades deportivas,ES120 - Asturias,CULTURA
617449,NO,CALONGE,AYUNTAMIENTO DE CALONGE,,25/03/2022,SUBVENCION NOMINATIVA 2021 CLUB JUDO CALONGE SANT ANTONI,https://api.calonge.cat/sites/default/files/files/PRESSUPOST2021_compressed.pdf,"3,925.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES512 - Girona,CULTURA
617448,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,25/03/2022,"Convocatoria de concesión de subvenciones, en régimen de concurrencia competitiva, para la realización de proyectos del Programa empleaverde, cofinanciado por el Fondo Social Europeo en 2019",https://www.boe.es/diario_boe/txt.php?id=BOE-A-2019-1092,"4,302,159.87 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES - ESPAÑA ,FOMENTO DEL EMPLEO
617447,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO DE BLANCA MANTENIMIENTO CENTRO DE DESARROLLO INFANTIL Y ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"11,719.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617446,NO,ASCÓ,AYUNTAMIENTO DE ASCÓ,,25/03/2022,IV CONVENIO DE COLABORACIÓN ENTRE LA SOCIEDAD DE CAZADORES SAN MIQUEL DE ASCÓ Y EL AYUNTAMIENTO DE ASCÓ,BOPT,"20,500.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES514 - Tarragona,CULTURA
617445,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO DE ARCHENA MANTEMIMIENTO CENTRO DE DESARROLLO INFANTIL Y ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"57,851.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617444,NO,COMUNITAT VALENCIANA,SECRETARÍA AUTONÓMICA DE ARQUITECTURA BIOCLIMÁTICA Y SOSTENIBILIDAD ENERGÉTICA,,25/03/2022,CONVENIO PARA ACTUACIONES URBANAS CREVILLENT 2022,NO DISPONIBLE,"150,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Construcción de edificios,ES521 - Alicante / Alacant,ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
617443,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO ALHAMA MANTENIMIENTO CENTRO DE ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"54,483.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617442,NO,CABILDO INSULAR DE TENERIFE,CABILDO INSULAR DE TENERIFE,,25/03/2022,"Acuerdo del CG de fecha 21/12/2021 Adhesión al acuerdo entre el Ministerio de Transportes, Movilidad y Agenda Urbana, la Comunidad Autónoma de Canarias, y el Ayuntamiento de Santa Cruz de Tenerife, relativo al ARRU “Barrio de La Salud V”.",http://www.bopsantacruzdetenerife.es/bopsc2/index.php,"818,800.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,CONSTRUCCIÓN,ES709 - Tenerife,ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN
617440,NO,CATALUÑA,OFICINA DE SUPORT A LA INICIATIVA CULTURAL,,25/03/2022,Subvenciones excluidas de concurrencia pública en el ámbito del fomento de la cultura catalana,http://economia.gencat.cat/ca/ambits-actuacio/ajuts-subvencions/planificacio/plans-estrategics/,"100,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ES51 - CATALUÑA,CULTURA
617439,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,ALCANTARILLA MANTENIMIENTO CENTRO DE ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"88,003.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617438,NO,ARAGÓN,INSTITUTO ARAGONÉS DE LA MUJER (IAM),,25/03/2022,"CONVENIO DE COLABORACIÓN ENTRE EL INSTITUTO ARAGONÉS DE LA MUJER Y LA COMARCA ALTO GALLEGO PARA LA PRESTACIÓN DEL SERVICIO DE ATENCIÓN PSICOLÓGICA, SOCIAL Y EDUCATIVA FAMILIAR",http://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=847747263333&type=pdf,"61,490.22 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Administración Pública y de la política económica y social,ES24 - ARAGON,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617436,NO,DIPUTACIÓN PROV. DE VALENCIA,DIPUTACIÓN PROVINCIAL DE VALENCIA,,25/03/2022,Plan de Desarrollo Integral (PDI) de la comarca Rincón de Ademuz,https://bop.dival.es/,"61,200.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",ES523 - Valencia / València,"AGRICULTURA, PESCA Y ALIMENTACIÓN"
617435,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNT AGUILAS. MANTENIMIENTO CENTRO DE ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"127,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617431,NO,OLOT,AYUNTAMIENTO DE OLOT,,25/03/2022,SUBVENCION NOMINATIVA ASSOCIACIO PLACERS,https://www.boe.es/buscar/act.php?id=BOE-A-2003-20977,"6,650.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Actividades asociativas,ES512 - Girona,"COMERCIO, TURISMO Y PYMES"
617429,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYTO ABARAN MANTENIMIENTO CENTRO DE DESARROLLO INFANTIL Y AT. TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"53,472.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
